Transaction number,Service Heads (T),Account (T),Transaction Date,Amount,Supplier Name
30277351,Adult Care Sector,"Grants, Contributions & Donations Paid Out",10/01/2025,"£136,819.00",Redacted
30277242,Adult Care Sector,"Grants, Contributions & Donations Paid Out",13/01/2025,"£44,584.00",Redacted
30281484,Adult Care Sector,"Grants, Contributions & Donations Paid Out",21/01/2025,"£22,564.00",Redacted
30282711,Adult Care Sector,"Grants, Contributions & Donations Paid Out",30/01/2025,"£74,728.00",Redacted
30282715,Adult Care Sector,"Grants, Contributions & Donations Paid Out",30/01/2025,"£228,222.00",Redacted
42361993,Adult Care Sector,Other Establishments,03/01/2025,"£24,567.80",TRENT NURSING LTD
42361998,Adult Care Sector,Other Establishments,03/01/2025,"£13,600.80",Amara Care
42362001,Adult Care Sector,Other Establishments,03/01/2025,"£11,853.64",Amphion Home Care Services Ltd
42362002,Adult Care Sector,Other Establishments,03/01/2025,"£6,422.82",A.T.C.S. Ltd
42362004,Adult Care Sector,Other Establishments,03/01/2025,"£39,333.72",Creative Support
42362009,Adult Care Sector,Other Establishments,03/01/2025,"£3,733.36",Housing & Support Solutions Ltd
42362012,Adult Care Sector,Other Establishments,03/01/2025,"£27,634.88",New Concept Care & Nursing Ltd
42362016,Adult Care Sector,Other Establishments,03/01/2025,"£11,309.76",Solsken Ltd
42362017,Adult Care Sector,Other Establishments,03/01/2025,"£33,454.20",Sure Group
42362013,Adult Care Sector,Other Establishments,03/01/2025,"£77,557.79",Nl Group Limited
42361994,Adult Care Sector,Other Establishments,03/01/2025,"£4,898.88",Provide React
42361995,Adult Care Sector,Other Establishments,03/01/2025,"£33,596.64",Unique Community Services
42361999,Adult Care Sector,Other Establishments,03/01/2025,"£35,798.88",Amber Care (Lincolnshire) Ltd
42362000,Adult Care Sector,Other Establishments,03/01/2025,"£8,280.00",Amber House
42362003,Adult Care Sector,Other Establishments,03/01/2025,"£44,360.50",Goodwin Healthcare Services Ltd
42362006,Adult Care Sector,Other Establishments,03/01/2025,"£53,162.60",Elite Care Solutions Ltd
42362010,Adult Care Sector,Other Establishments,03/01/2025,"£59,133.40",Jme Care Ltd
42362018,Adult Care Sector,Other Establishments,03/01/2025,"£3,542.24",Promedica24 (Lancashire) Limited
42363449,Adult Care Sector,Other Establishments,10/01/2025,"£10,274.08",Yorkare Homes Ltd
42363456,Adult Care Sector,Other Establishments,10/01/2025,"£15,996.55",Affinity Care Consortium Ltd
42363458,Adult Care Sector,Other Establishments,10/01/2025,"£23,280.16",The Bridge Community Care Ltd
42363459,Adult Care Sector,Other Establishments,10/01/2025,"£12,433.16",Home From Home Care Management Ltd
42363460,Adult Care Sector,Other Establishments,10/01/2025,"£8,121.92",Hollybank Trust
42363464,Adult Care Sector,Other Establishments,10/01/2025,"£22,857.56",Newfound Care Ltd
42363465,Adult Care Sector,Other Establishments,10/01/2025,"£13,422.36",Sense
42363470,Adult Care Sector,Other Establishments,10/01/2025,"£4,257.80",Woodview Care Ltd
42363471,Adult Care Sector,Other Establishments,10/01/2025,"£2,598.72",Bupa Care Services (Commissioning) Ltd
42363472,Adult Care Sector,Other Establishments,10/01/2025,"£10,394.88",Bupa Care Services (Commissioning) Ltd
42363475,Adult Care Sector,Other Establishments,10/01/2025,"£22,996.80",Pathfinders Care (Ollerton) Ltd
42363479,Adult Care Sector,Other Establishments,10/01/2025,"£1,531.20",Abbey Drive West
42363483,Adult Care Sector,Other Establishments,10/01/2025,"£70,842.26",Amber House
42363486,Adult Care Sector,Other Establishments,10/01/2025,"£5,197.44",Balmoral House
42363487,Adult Care Sector,Other Establishments,10/01/2025,"£2,598.72",Ascot House
42363488,Adult Care Sector,Other Establishments,10/01/2025,"£18,551.24",Beechcroft House
42363489,Adult Care Sector,Other Establishments,10/01/2025,"£8,257.12",Blyton Court
42363490,Adult Care Sector,Other Establishments,10/01/2025,"£39,197.84",Hc One
42363495,Adult Care Sector,Other Establishments,10/01/2025,"£3,785.16",Cas Learning Disabilities Ltd
42363496,Adult Care Sector,Other Establishments,10/01/2025,"£2,598.72",Carseld
42363497,Adult Care Sector,Other Establishments,10/01/2025,"£10,434.72",P&N Care Home Ltd
42363500,Adult Care Sector,Other Establishments,10/01/2025,"£9,869.64",Community Solutions
42363501,Adult Care Sector,Other Establishments,10/01/2025,"£16,573.28",Community Solutions
42363502,Adult Care Sector,Other Establishments,10/01/2025,"£5,027.83",Cygnets Broughton House
42363509,Adult Care Sector,Other Establishments,10/01/2025,£742.49,Greenacres Care Home
42363511,Adult Care Sector,Other Establishments,10/01/2025,"£9,555.68",Havenmere
42363513,Adult Care Sector,Other Establishments,10/01/2025,"£12,595.56",Heathcotes (Heathcotes Care Ltd)
42363514,Adult Care Sector,Other Establishments,10/01/2025,"£33,153.50",Hica
42363517,Adult Care Sector,Other Establishments,10/01/2025,"£7,313.60",St Philips Care Caledonia Limited
42363519,Adult Care Sector,Other Establishments,10/01/2025,"£3,898.08",Holly House Residential Home
42363520,Adult Care Sector,Other Establishments,10/01/2025,"£3,248.40",Holme Farm Residential Rest Home
42363528,Adult Care Sector,Other Establishments,10/01/2025,"£13,224.52",The Legard
42363529,Adult Care Sector,Other Establishments,10/01/2025,"£1,472.36",The Legard
42363530,Adult Care Sector,Other Establishments,10/01/2025,"£11,392.16",The Legard
42363531,Adult Care Sector,Other Establishments,10/01/2025,"£8,527.27",The Legard
42363533,Adult Care Sector,Other Establishments,10/01/2025,"£3,729.96",Lincolnshire House Association Ltd
42363535,Adult Care Sector,Other Establishments,10/01/2025,"£5,197.44",Carisbrooke Manor
42363537,Adult Care Sector,Other Establishments,10/01/2025,"£2,505.91",The Manor
42363540,Adult Care Sector,Other Establishments,10/01/2025,"£5,282.08",Norwood House Care Home
42363541,Adult Care Sector,Other Establishments,10/01/2025,£869.46,The Old Rectory Nursing Home
42363543,Adult Care Sector,Other Establishments,10/01/2025,"£54,459.12",Options Applegate
42363544,Adult Care Sector,Other Establishments,10/01/2025,"£17,383.44",Options Applegate
42363545,Adult Care Sector,Other Establishments,10/01/2025,"£2,598.72",Jasmine Health Care
42363546,Adult Care Sector,Other Establishments,10/01/2025,"£4,362.14",Richden Park Residential Home
42363547,Adult Care Sector,Other Establishments,10/01/2025,£943.52,Prime Life Ltd
42363548,Adult Care Sector,Other Establishments,10/01/2025,"£26,948.76",Prime Life Ltd
42363549,Adult Care Sector,Other Establishments,10/01/2025,"£18,776.08",Prime Life Ltd
42363551,Adult Care Sector,Other Establishments,10/01/2025,"£12,266.52",Prime Life Ltd
42363552,Adult Care Sector,Other Establishments,10/01/2025,"£8,173.04",Prime Life Ltd
42363553,Adult Care Sector,Other Establishments,10/01/2025,"£65,817.76",Prime Life Ltd
42363554,Adult Care Sector,Other Establishments,10/01/2025,"£10,151.48",Prime Life Ltd
42363557,Adult Care Sector,Other Establishments,10/01/2025,"£19,623.52",Randolph House
42363558,Adult Care Sector,Other Establishments,10/01/2025,"£7,619.96",Redbourne Centre (Caretech)
42363562,Adult Care Sector,Other Establishments,10/01/2025,"£2,413.10",Cumberworth Lodge in Administration
42363565,Adult Care Sector,Other Establishments,10/01/2025,"£6,690.69",STALLINGBOROUGH LODGE
42363566,Adult Care Sector,Other Establishments,10/01/2025,"£2,598.72",St Lawrence Residential Home
42363567,Adult Care Sector,Other Establishments,10/01/2025,"£3,805.27",St Mary'S (Visionary Care Ltd)
42363568,Adult Care Sector,Other Establishments,10/01/2025,"£3,108.00",Sycamore Lodge Care Home
42363570,Adult Care Sector,Other Establishments,10/01/2025,"£33,129.04",Tigh Bruadair
42363572,Adult Care Sector,Other Establishments,10/01/2025,"£15,396.92",Tigh Bruadair
42363574,Adult Care Sector,Other Establishments,10/01/2025,"£40,470.65",Holly Tree Lodge Nursing Home
42363576,Adult Care Sector,Other Establishments,10/01/2025,"£5,197.44",The Valleys Care Home
42363581,Adult Care Sector,Other Establishments,10/01/2025,"£11,192.60",Willowbeck Healthcare Ltd
42363582,Adult Care Sector,Other Establishments,10/01/2025,"£5,197.44",Wrawby Hall Care Home
30281147,Adult Care Sector,Other Establishments,23/01/2025,"£6,011.25",Amphion Home Care Services Ltd
30282429,Adult Care Sector,Other Establishments,30/01/2025,"£27,987.20",Sycamore Lodge
30278975,Adult Care Sector,Other Supplies & Services,17/01/2025,"£18,659.20",Creative Support
30278842,Adult Care Sector,Payments to Private Contractors,15/01/2025,"£20,480.00",Know Media
30277925,Adult Intermediate Care,Agency Supply Staff,13/01/2025,"£7,211.65",Ongo Recruitment Ltd
30278047,Adult Intermediate Care,Agency Supply Staff,13/01/2025,"£3,551.31",Ongo Recruitment Ltd
30280240,Adult Intermediate Care,Agency Supply Staff,22/01/2025,"£4,327.14",Ongo Recruitment Ltd
30280797,Adult Intermediate Care,Agency Supply Staff,22/01/2025,"£2,997.08",Ongo Recruitment Ltd
30282504,Adult Intermediate Care,Agency Supply Staff,30/01/2025,"£2,018.13",Ongo Recruitment Ltd
30274843,Adult Intermediate Care,Clothing & Uniforms & Laundry,01/01/2025,"£1,799.85",Elis
30275979,Adult Intermediate Care,Equipment Maintenance and Repair,29/02/2024,£933.82,JLA LIMITED
30277484,Adult Intermediate Care,Equipment Maintenance and Repair,31/12/2024,£545.10,Pickerings Europe Ltd
30274821,Adult Intermediate Care,Equipment Maintenance and Repair,01/01/2025,£933.82,JLA LIMITED
30282938,Adult Intermediate Care,Licences - General,01/02/2025,"£4,736.25",Access Uk Ltd
30279359,Adult Intermediate Care,Other Supplies & Services,15/01/2025,£574.00,AMAZON PAYMENTS UK LIMITED (corporate business account only)
30278836,Adult Intermediate Care,Other Supplies & Services,16/01/2025,£598.00,North Point Uk Ltd
30280558,Adult Intermediate Care,Provisions,09/01/2025,£659.86,Turner Price Ltd
30280553,Adult Intermediate Care,Provisions,16/01/2025,£548.71,Turner Price Ltd
30282433,Adult Intermediate Care,Provisions,23/01/2025,£617.27,Turner Price Ltd
30275191,Adult Safeguarding,Other Establishments,01/01/2025,"£3,233.06",Homegroup Ltd
30275818,Adult Safeguarding,Other Establishments,06/01/2025,"£47,246.23",Blue Door Support Service Cic
30274867,Adult Safeguarding,Other Hired & Contracting Services,19/12/2024,£749.00,Dr Madhu Gulati
30274787,Adult Safeguarding,Other Hired & Contracting Services,20/12/2024,£918.80,Paragon Medical Ltd
30274819,Adult Safeguarding,Other Hired & Contracting Services,20/12/2024,"£1,658.60",Mr Muzammil Hayat
30274793,Adult Safeguarding,Other Hired & Contracting Services,23/12/2024,"£1,306.40",DR GED GARRY
30274836,Adult Safeguarding,Other Hired & Contracting Services,23/12/2024,£749.00,Dr Madhu Gulati
30278553,Adult Safeguarding,Other Hired & Contracting Services,05/01/2025,"£1,111.00",MH 24 LTD
30278555,Adult Safeguarding,Other Hired & Contracting Services,06/01/2025,"£3,538.40",Dr Chandrashekar Rao
30278608,Adult Safeguarding,Other Hired & Contracting Services,10/01/2025,"£1,108.60",Mr Muzammil Hayat
30279243,Adult Safeguarding,Other Hired & Contracting Services,14/01/2025,£749.80,Dr Madhu Gulati
30279279,Adult Safeguarding,Other Hired & Contracting Services,14/01/2025,£754.40,Paragon Medical Ltd
30282024,Adult Safeguarding,Other Hired & Contracting Services,16/01/2025,"£1,290.60",Mr Muzammil Hayat
30282027,Adult Safeguarding,Other Hired & Contracting Services,20/01/2025,"£1,314.00",DR GED GARRY
30282029,Adult Safeguarding,Other Hired & Contracting Services,21/01/2025,£931.00,MH 24 LTD
30279968,Adult Safeguarding,Payments to Private Contractors,20/01/2025,£995.00,Shelter Training
30275081,Adult Safeguarding,Staff Training Expenses,27/11/2024,"£1,584.00",Respect
30275073,Adult Safeguarding,Staff Training Expenses,23/12/2024,"£3,080.00",Respect
30281924,Adult Social Care - Localities,Client Transport Costs,27/01/2025,"£1,288.00",V-care 24 Limited
30276193,Adult Social Care - Localities,Direct Payments,12/11/2024,£706.16,Redacted
42366112,Adult Social Care - Localities,Direct Payments,23/01/2025,"£9,051.48",Redacted
42366117,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,178.44",Redacted
42366118,Adult Social Care - Localities,Direct Payments,23/01/2025,"£2,071.28",Redacted
42366120,Adult Social Care - Localities,Direct Payments,23/01/2025,£689.40,Redacted
42366125,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,394.72",Redacted
42366127,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,626.24",Redacted
42366128,Adult Social Care - Localities,Direct Payments,23/01/2025,"£4,058.72",Redacted
42366129,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,226.40",Redacted
42366132,Adult Social Care - Localities,Direct Payments,23/01/2025,"£2,612.96",Redacted
42366134,Adult Social Care - Localities,Direct Payments,23/01/2025,"£2,032.80",Redacted
42366136,Adult Social Care - Localities,Direct Payments,23/01/2025,"£2,747.80",Redacted
42366139,Adult Social Care - Localities,Direct Payments,23/01/2025,"£3,079.72",Redacted
42366142,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,184.00",Redacted
42366163,Adult Social Care - Localities,Direct Payments,23/01/2025,"£4,368.00",Redacted
42366167,Adult Social Care - Localities,Direct Payments,23/01/2025,"£2,230.36",Redacted
42366173,Adult Social Care - Localities,Direct Payments,23/01/2025,"£2,967.28",Redacted
42366177,Adult Social Care - Localities,Direct Payments,23/01/2025,"£2,107.68",Redacted
42366183,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,382.60",Redacted
42366184,Adult Social Care - Localities,Direct Payments,23/01/2025,£848.96,Redacted
42366185,Adult Social Care - Localities,Direct Payments,23/01/2025,"£4,065.60",Redacted
42366187,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,858.56",Redacted
42366192,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,082.36",Redacted
42366194,Adult Social Care - Localities,Direct Payments,23/01/2025,"£3,624.12",Redacted
42366198,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,882.12",Redacted
42366201,Adult Social Care - Localities,Direct Payments,23/01/2025,"£2,054.76",Redacted
42366203,Adult Social Care - Localities,Direct Payments,23/01/2025,"£3,170.64",Redacted
42366208,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,766.24",Redacted
42366213,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,501.48",Redacted
42366215,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,213.52",Redacted
42366221,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,461.60",Redacted
42366229,Adult Social Care - Localities,Direct Payments,23/01/2025,"£2,136.80",Redacted
42366230,Adult Social Care - Localities,Direct Payments,23/01/2025,"£5,865.00",Redacted
42366232,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,219.68",Redacted
42366237,Adult Social Care - Localities,Direct Payments,23/01/2025,£766.00,Redacted
42366238,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,084.64",Redacted
42366239,Adult Social Care - Localities,Direct Payments,23/01/2025,"£2,399.04",Redacted
42366241,Adult Social Care - Localities,Direct Payments,23/01/2025,"£3,391.08",Redacted
42366243,Adult Social Care - Localities,Direct Payments,23/01/2025,"£4,360.00",Redacted
42366247,Adult Social Care - Localities,Direct Payments,23/01/2025,"£2,231.76",Redacted
42366248,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,138.28",Redacted
42366252,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,114.40",Redacted
42366253,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,849.68",Redacted
42366254,Adult Social Care - Localities,Direct Payments,23/01/2025,"£2,246.04",Redacted
42366255,Adult Social Care - Localities,Direct Payments,23/01/2025,"£2,789.44",Redacted
42366257,Adult Social Care - Localities,Direct Payments,23/01/2025,"£3,056.64",Redacted
42366260,Adult Social Care - Localities,Direct Payments,23/01/2025,"£8,675.88",Redacted
42366265,Adult Social Care - Localities,Direct Payments,23/01/2025,"£5,549.04",Redacted
42366266,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,000.00",Redacted
42366272,Adult Social Care - Localities,Direct Payments,23/01/2025,"£4,644.64",Redacted
42366276,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,328.04",Redacted
42366278,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,858.44",Redacted
42366279,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,455.40",Redacted
42366281,Adult Social Care - Localities,Direct Payments,23/01/2025,£956.40,Redacted
42366282,Adult Social Care - Localities,Direct Payments,23/01/2025,£813.12,Redacted
42366289,Adult Social Care - Localities,Direct Payments,23/01/2025,£796.00,Redacted
42366290,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,772.00",Redacted
42366292,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,200.00",Redacted
42366294,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,024.00",Redacted
42366298,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,798.72",Redacted
42366300,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,376.80",Redacted
42366301,Adult Social Care - Localities,Direct Payments,23/01/2025,£752.76,Redacted
42366303,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,679.40",Redacted
42366304,Adult Social Care - Localities,Direct Payments,23/01/2025,£660.00,Redacted
42366312,Adult Social Care - Localities,Direct Payments,23/01/2025,£800.00,Redacted
42366314,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,800.00",Redacted
42366316,Adult Social Care - Localities,Direct Payments,23/01/2025,£624.00,Redacted
42366322,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,194.00",Redacted
42366323,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,000.00",Redacted
42366325,Adult Social Care - Localities,Direct Payments,23/01/2025,£557.20,Redacted
42366326,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,413.12",Redacted
42366330,Adult Social Care - Localities,Direct Payments,23/01/2025,£665.24,Redacted
42366331,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,411.08",Redacted
42366333,Adult Social Care - Localities,Direct Payments,23/01/2025,£835.24,Redacted
42366337,Adult Social Care - Localities,Direct Payments,23/01/2025,£522.72,Redacted
42366339,Adult Social Care - Localities,Direct Payments,23/01/2025,"£4,766.86",Redacted
42366344,Adult Social Care - Localities,Direct Payments,23/01/2025,£603.16,Redacted
42366345,Adult Social Care - Localities,Direct Payments,23/01/2025,"£6,791.88",Redacted
42366350,Adult Social Care - Localities,Direct Payments,23/01/2025,£589.80,Redacted
42366352,Adult Social Care - Localities,Direct Payments,23/01/2025,£769.44,Redacted
42366355,Adult Social Care - Localities,Direct Payments,23/01/2025,"£2,466.24",Redacted
42366360,Adult Social Care - Localities,Direct Payments,23/01/2025,"£6,951.56",Redacted
42366362,Adult Social Care - Localities,Direct Payments,23/01/2025,"£2,397.00",Redacted
42366365,Adult Social Care - Localities,Direct Payments,23/01/2025,"£1,207.64",Redacted
