Year,Month,Month Name,Paym Acc Date,Cclvl4 Desc,Account Desc,Vendor Name,Distrib Amount SUM
2023,8,AUGUST,45163,Director Community Safety And Enforcement,Counsel's Fees,2 HARE COURT T/A MR RICHARD HELLER,3225
2023,8,AUGUST,45149,Director Community Safety And Enforcement,Legal & Court Costs,2 HARE COURT T/A MR RICHARD HELLER,1825
2023,8,AUGUST,45159,ASC Placements,Long Term ­ Community: Live In Care,4319 FOUNTAIN CARE LTD,1089
2023,8,AUGUST,45152,ASC Placements,Long Term ­ Community: Live In Care,4319 FOUNTAIN CARE LTD,1089
2023,8,AUGUST,45145,ASC Placements,Long Term ­ Community: Live In Care,4319 FOUNTAIN CARE LTD,1089
2023,8,AUGUST,45152,ASC Placements,Long Term - Nursing,4319 FOUNTAIN CARE LTD,14616
2023,8,AUGUST,45159,ASC Placements,Long Term - Community: Homecare,4319 FOUNTAIN CARE LTD,220.83
2023,8,AUGUST,45152,ASC Placements,Long Term - Community: Homecare,4319 FOUNTAIN CARE LTD,268.95
2023,8,AUGUST,45145,ASC Placements,Long Term - Community: Homecare,4319 FOUNTAIN CARE LTD,282.7
2023,8,AUGUST,45142,Director Environment And Leisure (Residents),Equipment Maintenance,A F JONES STONEMASONS LIMITED,1668.75
2023,8,AUGUST,45139,Transport and Projects Team - Town Centres,Community Grants,A J WELLS & SONS LTD,1210
2023,8,AUGUST,45154,Transport and Projects Team - Town Centres,Community Grants,A25 AWNINGS LTD,1090
2023,8,AUGUST,45153,Head of Looked After Children and Care Leavers,Client Rents U18,ABIDING LIMITED,7120
2023,8,AUGUST,45153,Head of Looked After Children and Care Leavers,Semi-Independent / Independent,ABIDING LIMITED,3200
2023,8,AUGUST,45145,ASC Placements,Long Term - Community: Supported Living,ABILITY HOUSING ASSOCIATION,96810.08
2023,8,AUGUST,45145,ASC Placements,Other Supplies & Services,ABILITY HOUSING ASSOCIATION,5837.01
2023,8,AUGUST,45145,Head of Learning Disability and Mental Health Services,Other Supplies & Services,ABILITY HOUSING ASSOCIATION,22792.99
2023,8,AUGUST,45154,Director of Service Delivery - Children's Social Care,Client Support,AC EDUCATION LTD,875
2023,8,AUGUST,45147,Head of Direct Care Provision (CFE),Vehicle Contract Hire,ACC MINICABS T/A K2 CARS LTD,12343.28
2023,8,AUGUST,45162,Head of Child & Family Development (HSC),Professional services,ACCESS INDEPENDENT,18330
2023,8,AUGUST,45162,Housing Special Projects,Other External Fees,ACCESS INDEPENDENT,1420
2023,8,AUGUST,45162,Housing Special Projects - HRA,Other External Fees,ACCESS INDEPENDENT,2740
2023,8,AUGUST,45153,ASC Placements,Long Term - Community: Supported Living,ACHIEVE TOGETHER SERVICES LIMITED,54267.76
2023,8,AUGUST,45153,ASC Placements,Long Term - Residential,ACHIEVE TOGETHER SERVICES LIMITED,140798.56
2023,8,AUGUST,45145,SEND,Statemented Pupils,ACHIEVING FOR CHILDREN,8578.01
2023,8,AUGUST,45159,Head of Looked After Children and Care Leavers,Residential Homes,ACORN CARE & EDUCATION LTD,21424.29
2023,8,AUGUST,45145,ASC Placements,Long Term - Community: Other Long Term Support,ACORN CARE & EDUCATION LTD,9717.06
2023,8,AUGUST,45145,ASC Placements,Long Term - Residential,ACORN VILLAGE LTD,9643.960000000001
2023,8,AUGUST,45168,Head of Court and Specialist Services,Legal & Court Costs,ADOPTION OPTIONS,4028.87
2023,8,AUGUST,45168,Director Strategic & Operational Finance,Private Contractors,ADVANCED BUSINESS SOLUTIONS,4521.2
2023,8,AUGUST,45167,Head of Looked After Children and Care Leavers,Residential Homes,AEGIS 247 LTD,47585
2023,8,AUGUST,45156,HRA Operating Budgets,Water Commissions,AFFINITY WATER,2958.4700000000003
2023,8,AUGUST,45159,HRA Operating Budgets,Water Commissions,AFFINITY WATER,700.84
2023,8,AUGUST,45161,HRA Operating Budgets,Water Commissions,AFFINITY WATER,7710.7
2023,8,AUGUST,45142,"Assistant Director, Youth Justice and Prevention",Other Supplies & Services,AKTIVA CAMPS LTD,10949
2023,8,AUGUST,45139,Facilities Management Operations,Contract  - Building Works,ALFRED BAGNALL & SONS (LONDON)LTD,72768.1
2023,8,AUGUST,45139,HRA Operating Budgets,Buildings Maint Day To Day,ALFRED BAGNALL & SONS (LONDON)LTD,33611.08
2023,8,AUGUST,45159,Director Environment And Leisure (Residents),Equipment Hire,ALGECO UK LIMITED,576.1800000000001
2023,8,AUGUST,45167,Head of Business Performance,Professional services,ALI BIRD AT BAS BOOKS LTD,1028.8
2023,8,AUGUST,45145,ASC Placements,Long Term - Community: Other - Outreach,ALL FOR CARE HOME CARE SERVICES,6501.3
2023,8,AUGUST,45145,Head of Court and Specialist Services,Home Care,ALL FOR CARE HOME CARE SERVICES,5219.68
2023,8,AUGUST,45145,Head of Court and Specialist Services,Long Term - Community: Other - Outreach,ALL FOR CARE HOME CARE SERVICES,2723.2000000000003
2023,8,AUGUST,45141,Programme and Asset Management - Housing,External Project Consultant Fees,ALLEN CONSTRUCTION CONSULTANCY LIMITED,11812.49
2023,8,AUGUST,45162,Programme and Asset Management - Housing,External Project Consultant Fees,ALLEN CONSTRUCTION CONSULTANCY LIMITED,11749.95
2023,8,AUGUST,45141,Director Service Finance & Transformation,Agency And Contract Staff,ALLEN LANE,2160
2023,8,AUGUST,45148,Director Service Finance & Transformation,Agency And Contract Staff,ALLEN LANE,3600
2023,8,AUGUST,45155,Director Service Finance & Transformation,Agency And Contract Staff,ALLEN LANE,2160
2023,8,AUGUST,45162,Director Service Finance & Transformation,Agency And Contract Staff,ALLEN LANE,720
2023,8,AUGUST,45169,Director Service Finance & Transformation,Agency And Contract Staff,ALLEN LANE,2160
2023,8,AUGUST,45169,HRA Operating Budgets,Bank Charges,ALLPAY.NET LIMITED,2695.14
2023,8,AUGUST,45169,Director Strategic & Operational Finance,Printing,ALLPAY.NET LIMITED,210.67000000000002
