Year,Month,Month Name,Paym Acc Date,Cclvl4 Desc,Account Desc,Vendor Name,Distrib Amount SUM
2023,6,JUNE,45107,Head of Court and Specialist Services,Counsel's Fees,1GC T/A MALCOLM CHISHOLM,1865
2023,6,JUNE,45107,Head of Legal Services,Counsel's Fees,1GC T/A MALCOLM CHISHOLM,373
2023,6,JUNE,45086,Head of Legal Services,Counsel's Fees,2 HARE COURT T/A MR RICHARD HELLER,1775
2023,6,JUNE,45082,Director of Health and Public Health,Sports Instruction,2 STEPZ,1190
2023,6,JUNE,45079,DSG Corporate Items,Grants,4 STREET AND NORTHWOOD NURSERIES,12102.43
2023,6,JUNE,45107,DSG Corporate Items,Grants,4 STREET AND NORTHWOOD NURSERIES,12131.89
2023,6,JUNE,45103,ASC Placements,Long Term ­ Community: Live In Care,4319 FOUNTAIN CARE LTD,1089
2023,6,JUNE,45097,ASC Placements,Long Term ­ Community: Live In Care,4319 FOUNTAIN CARE LTD,1089
2023,6,JUNE,45089,ASC Placements,Long Term ­ Community: Live In Care,4319 FOUNTAIN CARE LTD,1089
2023,6,JUNE,45082,ASC Placements,Long Term ­ Community: Live In Care,4319 FOUNTAIN CARE LTD,1089
2023,6,JUNE,45097,ASC Placements,Long Term - Nursing,4319 FOUNTAIN CARE LTD,14616
2023,6,JUNE,45103,ASC Placements,Long Term - Community: Homecare,4319 FOUNTAIN CARE LTD,827.75
2023,6,JUNE,45097,ASC Placements,Long Term - Community: Homecare,4319 FOUNTAIN CARE LTD,842.0600000000001
2023,6,JUNE,45089,ASC Placements,Long Term - Community: Homecare,4319 FOUNTAIN CARE LTD,868.74
2023,6,JUNE,45082,ASC Placements,Long Term - Community: Homecare,4319 FOUNTAIN CARE LTD,1188.55
2023,6,JUNE,45082,Head of Looked After Children and Care Leavers,Residential Homes,A WILDERNESS WAY GROUP LIMITED,54904
2023,6,JUNE,45097,Director Housing,B&B Hotel Costs,AARAV,2666
2023,6,JUNE,45097,Head of Children in Need of Help and Protection,Client Rents,AARAV PROPERTIES LTD,3410
2023,6,JUNE,45097,Director Housing,B&B Hotel Costs,AARAV PROPERTIES LTD,4355
2023,6,JUNE,45082,Head of Looked After Children and Care Leavers,Client Rents U18,ABIDING LIMITED,5340
2023,6,JUNE,45082,Head of Looked After Children and Care Leavers,Semi-Independent / Independent,ABIDING LIMITED,3200
2023,6,JUNE,45096,SEND,Ind Spec Schools Placements,ABINGDON HOUSE SCHOOL LTD,49307.61
2023,6,JUNE,45078,"Head of Early Help, Prevention and Permanence",Client Support,AC EDUCATION LTD,600
2023,6,JUNE,45104,Head of Direct Care Provision (CFE),Vehicle Contract Hire,ACC MINICABS T/A K2 CARS LTD,16090.83
2023,6,JUNE,45096,ASC Placements,Long Term - Community: Supported Living,ACHIEVE TOGETHER SERVICES LIMITED,54267.76
2023,6,JUNE,45096,ASC Placements,Long Term - Residential,ACHIEVE TOGETHER SERVICES LIMITED,108889.76000000001
2023,6,JUNE,45089,SEND,Ind Spec Schools Placements,ACORN CARE & EDUCATION LTD,19160
2023,6,JUNE,45096,Head of Looked After Children and Care Leavers,Residential Homes,ACORN CARE & EDUCATION LTD,22138.43
