Year,Month,Month Name,Paym Acc Date,Cclvl4 Desc,Account Desc,Vendor Name,Distrib Amount SUM
2023,11,NOVEMBER,45232,DSG - Early Years Block,Grants,4 STREET AND NORTHWOOD NURSERIES,11799.24
2023,11,NOVEMBER,45258,ASC Placements,Long Term ­ Community: Live In Care,4319 FOUNTAIN CARE LTD,1089
2023,11,NOVEMBER,45251,ASC Placements,Long Term ­ Community: Live In Care,4319 FOUNTAIN CARE LTD,1089
2023,11,NOVEMBER,45243,ASC Placements,Long Term ­ Community: Live In Care,4319 FOUNTAIN CARE LTD,1089
2023,11,NOVEMBER,45237,ASC Placements,Long Term ­ Community: Live In Care,4319 FOUNTAIN CARE LTD,1089
2023,11,NOVEMBER,45237,ASC Placements,Long Term - Nursing,4319 FOUNTAIN CARE LTD,14616
2023,11,NOVEMBER,45258,ASC Placements,Long Term - Community: Homecare,4319 FOUNTAIN CARE LTD,284.35
2023,11,NOVEMBER,45251,ASC Placements,Long Term - Community: Homecare,4319 FOUNTAIN CARE LTD,276.37
2023,11,NOVEMBER,45243,ASC Placements,Long Term - Community: Homecare,4319 FOUNTAIN CARE LTD,283.25
2023,11,NOVEMBER,45237,ASC Placements,Long Term - Community: Homecare,4319 FOUNTAIN CARE LTD,275.55
2023,11,NOVEMBER,45247,Director Environment And Leisure (Residents),Equipment Maintenance,A F JONES STONEMASONS LIMITED,8694.5
2023,11,NOVEMBER,45233,Head of Looked After Children and Care Leavers,Personal Needs of Clients,A WILDERNESS WAY GROUP LIMITED,-340.2
2023,11,NOVEMBER,45240,Director Strategic & Operational Finance,Externally Contracted Services,A.M.1 CONSULTING LIMITED,15400
2023,11,NOVEMBER,45244,Director Strategic & Operational Finance,Externally Contracted Services,A.M.1 CONSULTING LIMITED,206250
2023,11,NOVEMBER,45244,Head of ICT,Support and Maintenance Renewals,A.M.1 CONSULTING LIMITED,24000
2023,11,NOVEMBER,45231,Head of Children in Need of Help and Protection,Client Rents,AARAV,5115
2023,11,NOVEMBER,45231,Director Housing,B&B Hotel Costs,AARAV,1200
2023,11,NOVEMBER,45231,Director Housing,B&B Hotel Costs,AARAV PROPERTIES LTD,26155
2023,11,NOVEMBER,45258,Head of Looked After Children and Care Leavers,Client Rents U18,ABC HILLINGDON T/A ABC HOUSING,15642.86
2023,11,NOVEMBER,45258,Head of Looked After Children and Care Leavers,Personal Needs of Clients,ABC HILLINGDON T/A ABC HOUSING,885.71
2023,11,NOVEMBER,45259,Director Housing,Rents & Wayleaves,ABDUL RAUF QADIRI,553.84
