Year,Month,Month Name,Paym Acc Date,Cclvl4 Desc,Account Desc,Vendor Name,Distrib Amount SUM
2023,5,MAY,45056,Director Community Safety And Enforcement,Counsel's Fees,2 HARE COURT T/A MR RICHARD HELLER,1100
2023,5,MAY,45058,Director Community Safety And Enforcement,Counsel's Fees,2 HARE COURT T/A MR RICHARD HELLER,4000
2023,5,MAY,45049,DSG Corporate Items,Grants,4 STREET AND NORTHWOOD NURSERIES,12102.43
2023,5,MAY,45049,ASC Placements,Long Term - Community: Homecare,4319 FOUNTAIN CARE LTD,1165.46
2023,5,MAY,45056,ASC Placements,Long Term - Community: Homecare,4319 FOUNTAIN CARE LTD,1230.09
2023,5,MAY,45061,ASC Placements,Long Term - Community: Homecare,4319 FOUNTAIN CARE LTD,1216.8600000000001
2023,5,MAY,45068,ASC Placements,Long Term - Community: Homecare,4319 FOUNTAIN CARE LTD,1213.04
2023,5,MAY,45076,ASC Placements,Long Term - Community: Homecare,4319 FOUNTAIN CARE LTD,1232.57
2023,5,MAY,45068,ASC Placements,Long Term - Nursing,4319 FOUNTAIN CARE LTD,14616
2023,5,MAY,45049,ASC Placements,Long Term ­ Community: Live In Care,4319 FOUNTAIN CARE LTD,1089
2023,5,MAY,45056,ASC Placements,Long Term ­ Community: Live In Care,4319 FOUNTAIN CARE LTD,1089
2023,5,MAY,45061,ASC Placements,Long Term ­ Community: Live In Care,4319 FOUNTAIN CARE LTD,1089
2023,5,MAY,45068,ASC Placements,Long Term ­ Community: Live In Care,4319 FOUNTAIN CARE LTD,1089
2023,5,MAY,45076,ASC Placements,Long Term ­ Community: Live In Care,4319 FOUNTAIN CARE LTD,1089
2023,5,MAY,45056,Head of Looked After Children and Care Leavers,Residential Homes,A WILDERNESS WAY GROUP LIMITED,54904
2023,5,MAY,45068,Head of Children in Need of Help and Protection,Client Rents,AARAV,7056
2023,5,MAY,45065,Director Housing,B&B Hotel Costs,AARAV,2580
2023,5,MAY,45065,Director Housing,B&B Hotel Costs,AARAV PROPERTIES LTD,3300
2023,5,MAY,45065,Head of Children in Need of Help and Protection,Client Rents,AARAV PROPERTIES LTD,3300
2023,5,MAY,45072,Director Community Safety And Enforcement,Subscriptions,ABC FOOD LAW LIMITED,1125
2023,5,MAY,45076,Head of Looked After Children and Care Leavers,Personal Needs of Clients,ABC HILLINGDON T/A ABC HOUSING,935.71
2023,5,MAY,45056,Head of Looked After Children and Care Leavers,Personal Needs of Clients,ABC HILLINGDON T/A ABC HOUSING,857.14
2023,5,MAY,45049,Head of Looked After Children and Care Leavers,Personal Needs of Clients,ABC HILLINGDON T/A ABC HOUSING,885.71
2023,5,MAY,45076,Head of Looked After Children and Care Leavers,Client Rents U18,ABC HILLINGDON T/A ABC HOUSING,28410.73
2023,5,MAY,45049,Head of Looked After Children and Care Leavers,Client Rents U18,ABC HILLINGDON T/A ABC HOUSING,35678.58
2023,5,MAY,45049,Head of Looked After Children and Care Leavers,Client Rents U18,ABIDING LIMITED,11570
2023,5,MAY,45049,Head of Looked After Children and Care Leavers,Semi-Independent / Independent,ABIDING LIMITED,3200
2023,5,MAY,45061,ASC Placements,Long Term - Community: Supported Living,ABILITY HOUSING ASSOCIATION,97392.56
2023,5,MAY,45077,ASC Placements,Long Term - Community: Supported Living,ABILITY HOUSING ASSOCIATION,91985.18000000001
2023,5,MAY,45061,ASC Placements,Other Supplies & Services,ABILITY HOUSING ASSOCIATION,7034.8
2023,5,MAY,45077,ASC Placements,Other Supplies & Services,ABILITY HOUSING ASSOCIATION,10225
2023,5,MAY,45061,Head of Learning Disability and Mental Health Services,Other Supplies & Services,ABILITY HOUSING ASSOCIATION,21595.2
2023,5,MAY,45077,Head of Learning Disability and Mental Health Services,Other Supplies & Services,ABILITY HOUSING ASSOCIATION,18405
2023,5,MAY,45061,"Head of Early Help, Prevention and Permanence",Client Support,AC EDUCATION LTD,600
2023,5,MAY,45070,Head of Direct Care Provision (CFE),Vehicle Contract Hire,ACC MINICABS T/A K2 CARS LTD,8624.7
2023,5,MAY,45050,Head of Youth Justice and Adolescent Development,Children Activities,ACCESS EXPEDITIONS LTD,1263.9
2023,5,MAY,45049,ASC Placements,Long Term - Residential,ACHIEVE TOGETHER LTD T/A AITCH CARE HOME,1578.45
2023,5,MAY,45049,ASC Placements,Long Term - Residential,ACHIEVE TOGETHER LTD T/A IVERS HOUSE LTD,2486.53
2023,5,MAY,45068,ASC Placements,Long Term - Community: Supported Living,ACHIEVE TOGETHER SERVICES LIMITED,54267.76
2023,5,MAY,45068,ASC Placements,Long Term - Residential,ACHIEVE TOGETHER SERVICES LIMITED,108889.76000000001
