Creditor_Name ,Invoice Line Amount,Payment_Date,Expenditure Category/Description,LA Department
THAMES HOMECARE SERVICE LIMITED,916.02,45372,Greenwich Home Support,Health and Adult Services
THAMES HOMECARE SERVICE LIMITED,528.5,45372,Greenwich Home Support,Health and Adult Services
THAMES HOMECARE SERVICE LIMITED,916.02,45372,Greenwich Home Support,Health and Adult Services
THAMES HOMECARE SERVICE LIMITED,644.3000000000001,45372,Greenwich Home Support,Health and Adult Services
THAMES HOMECARE SERVICE LIMITED,669.5500000000001,45372,Greenwich Home Support,Health and Adult Services
VOUCHER EXPRESS,11062.5,45372,Children Looked After,Childrens Services
THAMES HOMECARE SERVICE LIMITED,684.6,45372,Greenwich Home Support,Health and Adult Services
THAMES HOMECARE SERVICE LIMITED,634.34,45372,Greenwich Home Support,Health and Adult Services
THAMES HOMECARE SERVICE LIMITED,704.76,45372,Greenwich Home Support,Health and Adult Services
THAMES HOMECARE SERVICE LIMITED,704.5500000000001,45372,Greenwich Home Support,Health and Adult Services
THAMES HOMECARE SERVICE LIMITED,634.2,45372,Greenwich Home Support,Health and Adult Services
THAMES HOMECARE SERVICE LIMITED,634.13,45372,Greenwich Home Support,Health and Adult Services
CRS LAW LTD T/AS CHRIS RUDD SOLICITORS,4472.93,45369,Other Services,Housing Services HRA
SATCHELL MORAN SOLICITORS,2339.18,45369,Other Services,Housing Services HRA
AGGREGATE INDUSTRIES UK LTD T/AS SPADEOAK,36839.8,45370,Other Services,Comm Safety and Environment
TRAVELODGE HOTELS LTD,241519.66,45369,EOA Hotel Spend,Housing Services
REDACTED PERSONAL INFORMATION,2592,45372,Other Services,Childrens Services
DWF LAW LLP,2654.6,45373,Legal Fees External Contract,Housing Services HRA
DWF LAW LLP,2654.6,45373,Legal Fees External Contract,Housing Services HRA
DWF LAW LLP,45,45373,Legal Fees External Contract,Housing Services HRA
DWF LAW LLP,45,45373,Legal Fees External Contract,Housing Services HRA
COGNITHAN LTD,4776.29,45376,Services Private Contractor,Health and Adult Services
COGNITHAN LTD,4488.8,45376,Services Private Contractor,Health and Adult Services
COGNITHAN LTD,3712.03,45376,Services Private Contractor,Health and Adult Services
ST DAVIDS CARE IN THE COMMUNITY LTD,2884.2000000000003,45376,Services Private Contractor,Health and Adult Services
ST DAVIDS CARE IN THE COMMUNITY LTD,573.48,45376,Client Support,Health and Adult Services
ST DAVIDS CARE IN THE COMMUNITY LTD,2442.4700000000003,45376,Services Private Contractor,Health and Adult Services
RECTORY COURT CARE HOME LTD,7395.71,45376,Services Private Contractor,Health and Adult Services
ARIA HEALTHCARE GROUP LTD T/A SUNDRIDGE COURT,4581.09,45376,Private Sector Nursing Homes,Health and Adult Services
BLUE OCEAN SERVICES LTD,927.5,45373,Private Home Help Domest Misc,Health and Adult Services
BLUE OCEAN SERVICES LTD,1159.38,45373,Private Home Help Domest Misc,Health and Adult Services
ASHINGHAM HOUSE LTD,6564.47,45376,Services Private Contractor,Health and Adult Services
BLUE OCEAN SERVICES LTD,2310,45373,Private Home Help Domest Misc,Health and Adult Services
BLUE OCEAN SERVICES LTD,2878.75,45373,Private Home Help Domest Misc,Health and Adult Services
UNIQUEHELP LTD T/A THE WHITSTABLE NURSING HOME,3189.32,45376,Private Sector Nursing Homes,Health and Adult Services
BONDCARE (LONDON) LTD T/A BEECHCARE,10842.43,45376,Private Sector Nursing Homes,Health and Adult Services
ROSEMARY CLAY T/A ROOFING & BUIDLING,775,45373,Deposits,Regeneration Enterprise Skills
SUNRISE MENTAL HEALTH LTD,4580.25,45376,Services Private Contractor,Health and Adult Services
SUNRISE MENTAL HEALTH LTD,4408.51,45376,Services Private Contractor,Health and Adult Services
SUNRISE MENTAL HEALTH LTD,3963.6600000000003,45376,Supported Living,Health and Adult Services
SUNRISE MENTAL HEALTH LTD,4408.51,45376,Services Private Contractor,Health and Adult Services
SUNRISE MENTAL HEALTH LTD,4186.86,45376,Services Private Contractor,Health and Adult Services
SUNRISE MENTAL HEALTH LTD,4186.86,45376,Services Private Contractor,Health and Adult Services
SUNRISE MENTAL HEALTH LTD,4186.86,45376,Supported Living,Health and Adult Services
SUNRISE MENTAL HEALTH LTD,4186.86,45376,Supported Living,Health and Adult Services
SUNRISE MENTAL HEALTH LTD,4186.86,45376,Services Private Contractor,Health and Adult Services
SUNRISE MENTAL HEALTH LTD,4186.86,45376,Supported Living,Health and Adult Services
SUNRISE MENTAL HEALTH LTD,4186.86,45376,Services Private Contractor,Health and Adult Services
CRAEGMOOR SEABREEZES PRIORY,7674.45,45376,Services Private Contractor,Health and Adult Services
ACORN HOMES (UK) LTD,21257.010000000002,45376,Agency Placements,Childrens Services
MELBA LODGE LTD,4659.96,45376,Services Private Contractor,Health and Adult Services
MELBA LODGE LTD,4723.42,45376,Services Private Contractor,Health and Adult Services
MELBA LODGE LTD,4615.68,45376,Services Private Contractor,Health and Adult Services
AUTISM ANGLIA,4633.17,45376,Supported Living,Health and Adult Services
THE OAKS (SPRING) LIMITED,6532.14,45376,Private Sector Nursing Homes,Health and Adult Services
THE OAKS (SPRING) LIMITED,4052.14,45376,Private Sector Nursing Homes,Health and Adult Services
THE OAKS (SPRING) LIMITED,5912.14,45376,Private Sector Nursing Homes,Health and Adult Services
THE OAKS (SPRING) LIMITED,4678.21,45376,Private Sector Nursing Homes,Health and Adult Services
THE OAKS (SPRING) LIMITED,4942.64,45376,Private Sector Nursing Homes,Health and Adult Services
THE OAKS (SPRING) LIMITED,4942.64,45376,Private Sector Nursing Homes,Health and Adult Services
THE OAKS (SPRING) LIMITED,4052.14,45376,Private Sector Nursing Homes,Health and Adult Services
THE OAKS (SPRING) LIMITED,4499.43,45376,Private Sector Nursing Homes,Health and Adult Services
THE OAKS (SPRING) LIMITED,4650,45376,Private Sector Nursing Homes,Health and Adult Services
THE OAKS (SPRING) LIMITED,12382.64,45376,Private Sector Nursing Homes,Health and Adult Services
THE OAKS (SPRING) LIMITED,4499.78,45376,Private Sector Nursing Homes,Health and Adult Services
THE OAKS (SPRING) LIMITED,4904.2,45376,Private Sector Nursing Homes,Health and Adult Services
THE OAKS (SPRING) LIMITED,4052.14,45376,Private Sector Nursing Homes,Health and Adult Services
STRODE PARK FOUNDATION FOR PEOPLE WITH DISABILITIE,3830.08,45376,Services Private Contractor,Health and Adult Services
LOXWOOD HOUSE LTD,3542.85,45376,Services Private Contractor,Health and Adult Services
APPLE HOUSE LTD,5173.01,45376,Services Private Contractor,Health and Adult Services
LEYTON HOUSE COMMUNITY CARE LTD T/A CARE LONDON LT,3542.86,45376,Supported Living,Health and Adult Services
LEYTON HOUSE COMMUNITY CARE LTD T/A CARE LONDON LT,3542.86,45376,Supported Living,Health and Adult Services
LEYTON HOUSE COMMUNITY CARE LTD T/A CARE LONDON LT,3428.57,45376,Supported Living,Health and Adult Services
LEYTON HOUSE COMMUNITY CARE LTD T/A CARE LONDON LT,3542.86,45376,Supported Living,Health and Adult Services
THE GRANGE CENTRE,3157.73,45376,Supported Living,Health and Adult Services
BUPA CARE HOMES (ANS) LTD,3894.29,45376,Private Sector Nursing Homes,Health and Adult Services
BUPA CARE HOMES (ANS) LTD,3894.29,45376,Short Term Nursing,Health and Adult Services
BUPA CARE HOMES (ANS) LTD,3144.4300000000003,45376,Private Sector Nursing Homes,Health and Adult Services
BUPA CARE HOMES (CFCHOMES) LTD,2373.73,45376,Services Private Contractor,Health and Adult Services
BRYMORE CARE HOMES LTD,2966.41,45376,Private Sector Nursing Homes,Health and Adult Services
DAVID ADE AFOLABI,3500,45373,MIsc,Housing Services
BRIDGE 86 LIMITED,4744.650000000001,45376,Supported Living,Health and Adult Services
BRIDGE 86 LIMITED,4744.650000000001,45376,Supported Living,Health and Adult Services
BRIDGE 86 LIMITED,4744.650000000001,45376,Supported Living,Health and Adult Services
BRIDGE 86 LIMITED,4744.650000000001,45376,Supported Living,Health and Adult Services
BRIDGE 86 LIMITED,4744.650000000001,45376,Supported Living,Health and Adult Services
BRIDGE 86 LIMITED,4744.650000000001,45376,Supported Living,Health and Adult Services
BRIDGE 86 LIMITED,4744.650000000001,45376,Supported Living,Health and Adult Services
BRIDGE 86 LIMITED,4744.650000000001,45376,Supported Living,Health and Adult Services
BRIDGE 86 LIMITED,4744.650000000001,45376,Supported Living,Health and Adult Services
BRIDGE 86 LIMITED,4744.650000000001,45376,Supported Living,Health and Adult Services
BRIDGE 86 LIMITED,4744.650000000001,45376,Supported Living,Health and Adult Services
BRIDGE 86 LIMITED,4744.650000000001,45376,Supported Living,Health and Adult Services
BRIDGE 86 LIMITED,942.5,45376,Rents Other,Health and Adult Services
BRIDGE 86 LIMITED,4744.650000000001,45376,Supported Living,Health and Adult Services
SUPPORTED LIVING SERVICES LTD,3120,45376,Supported Living,Health and Adult Services
FOUR SEASONS HEALTH CARE LTD (CHARLTON PARK),3292.62,45376,Private Sector Nursing Homes,Health and Adult Services
FOUR SEASONS HEALTH CARE LTD (CHARLTON PARK),2814.7000000000003,45376,Private Sector Nursing Homes,Health and Adult Services
FOUR SEASONS HEALTH CARE LTD (CHARLTON PARK),2142.5,45376,Private Sector Nursing Homes,Health and Adult Services
SUPPORTED LIVING SERVICES LTD,2680,45376,Supported Living,Health and Adult Services
SUPPORTED LIVING SERVICES LTD,2760,45376,Supported Living,Health and Adult Services
SUPPORTED LIVING SERVICES LTD,2680,45376,Supported Living,Health and Adult Services
SUPPORTED LIVING SERVICES LTD,3120,45376,Supported Living,Health and Adult Services
SUPPORTED LIVING SERVICES LTD,2680,45376,Supported Living,Health and Adult Services
TRINITY PEOPLE LIMITED,1440,45376,Voluntary Bodies Other Care,Health and Adult Services
MORDEN COLLEGE,2471.59,45376,Services Private Contractor,Health and Adult Services
MORDEN COLLEGE,2471.59,45376,Services Private Contractor,Health and Adult Services
MORDEN COLLEGE,2423.14,45376,Services Private Contractor,Health and Adult Services
MORDEN COLLEGE,2855.9900000000002,45376,Services Private Contractor,Health and Adult Services
MORDEN COLLEGE,2399.58,45376,Services Private Contractor,Health and Adult Services
MORDEN COLLEGE,2702.36,45376,Private Sector Nursing Homes,Health and Adult Services
MORDEN COLLEGE,1905.8400000000001,45376,Services Private Contractor,Health and Adult Services
MORDEN COLLEGE,2423.14,45376,Services Private Contractor,Health and Adult Services
VERVE HOMECARE LTD,8441.76,45376,In Home Domicilary and Agency Care,Childrens Services
GREATER LONDON FOSTERING LTD,3409.53,45376,Agency Placements,Childrens Services
GREATER LONDON FOSTERING LTD,3409.53,45376,Agency Placements,Childrens Services
ALL4U FOSTERING LTD,3888.32,45376,Agency Placements,Childrens Services
STAPLEBURN LTD,1566,45376,Rents Other,Health and Adult Services
STAPLEBURN LTD,1566,45376,Rents Other,Health and Adult Services
STAPLEBURN LTD,2088,45376,Rents Other,Health and Adult Services
STAPLEBURN LTD,1218,45376,Rents Other,Health and Adult Services
STAPLEBURN LTD,1566,45376,Rents Other,Health and Adult Services
STAPLEBURN LTD,1350,45376,Rents Other,Health and Adult Services
BRIGHTER FUTURES FOUNDATION CIC T/A,1896,45376,Voluntary Bodies Other Care,Health and Adult Services
BRIGHTER FUTURES FOUNDATION CIC T/A,693.6,45376,Voluntary Bodies Other Care,Health and Adult Services
PRIME AND PASSIONATE HEALTHCARE LIMITED,840,45376,Private Home Help Domest Misc,Health and Adult Services
PRIME AND PASSIONATE HEALTHCARE LIMITED,672,45376,Private Home Help Domest Misc,Health and Adult Services
PRIME AND PASSIONATE HEALTHCARE LIMITED,900,45376,Private Home Help Domest Misc,Health and Adult Services
PRIME AND PASSIONATE HEALTHCARE LIMITED,2604,45376,Private Home Help Domest Misc,Health and Adult Services
PRIME AND PASSIONATE HEALTHCARE LIMITED,2604,45376,Private Home Help Domest Misc,Health and Adult Services
PRIME AND PASSIONATE HEALTHCARE LIMITED,3360,45376,Private Home Help Domest Misc,Health and Adult Services
ACUURA LTD T/A BLUEBIRD CARE (GREENWICH),1511,45376,Private Home Help Domest Misc,Health and Adult Services
ACUURA LTD T/A BLUEBIRD CARE (GREENWICH),1054.85,45376,Private Home Help Domest Misc,Health and Adult Services
COMPASS CHILDREN`S HOMES LIMITED,38694.51,45376,Agency Placements,Childrens Services
PURECARE  CARE SERVICES  LIMITED,6517.38,45376,Services Private Contractor,Health and Adult Services
LUU-BRIDGETS HEALTHCARE LTD,12528,45376,Client Support,Health and Adult Services
LUU-BRIDGETS HEALTHCARE LTD,6264,45376,Client Support,Health and Adult Services
LUU-BRIDGETS HEALTHCARE LTD,4176,45376,Client Support,Health and Adult Services
LUU-BRIDGETS HEALTHCARE LTD,2610,45376,Client Support,Health and Adult Services
LUU-BRIDGETS HEALTHCARE LTD,6264,45376,Client Support,Health and Adult Services
LUU-BRIDGETS HEALTHCARE LTD,12528,45376,Client Support,Health and Adult Services
COMPASS SUPPORTED LIVING AND DOMICILIARY CARE LTD,6019.57,45376,Supported Living,Health and Adult Services
COMPASS SUPPORTED LIVING AND DOMICILIARY CARE LTD,6061,45376,Supported Living,Health and Adult Services
COMPASS SUPPORTED LIVING AND DOMICILIARY CARE LTD,6135.57,45376,Supported Living,Health and Adult Services
BRIGHTER FUTURES FOUNDATION CIC T/A,1255.8,45376,Voluntary Bodies Other Care,Health and Adult Services
BRIGHTER FUTURES FOUNDATION CIC T/A,3641.4,45376,Voluntary Bodies Other Care,Health and Adult Services
CARTERHATCH HOMES LIMITED,32107.06,45376,Agency Placements,Childrens Services
DWELLING PLACES HOMES LTD,22624.14,45376,Agency Placements,Childrens Services
PURECARE  CARE SERVICES  LIMITED,3030.29,45376,Supported Living,Health and Adult Services
CHESTNUTS HOME LIMITED,2898.4,45376,Services Private Contractor,Health and Adult Services
WT UK OPCO 4 LIMITED T/AS CARE UK RE GRACEWELL,6566.55,45376,Supported Living,Health and Adult Services
JM CARE HOMES LIMITED,10693.75,45376,Supported Living,Health and Adult Services
BLUE OCEAN SERVICES LTD,1465.63,45373,Private Home Help Domest Misc,Health and Adult Services
REDACTED PERSONAL INFORMATION,648,45377,Agency Staff,Childrens Services
REDACTED PERSONAL INFORMATION,600,45377,Services Other Local Author,Childrens Services
PANGEA SUPPORT SERVICES LIMITED,1594.29,45376,Agency Placements,Childrens Services
PANGEA SUPPORT SERVICES LIMITED,1009.72,45376,Agency Placements,Childrens Services
PANGEA SUPPORT SERVICES LIMITED,297.6,45376,Agency Placements,Childrens Services
PROGRESSIVE MINDZ LTD,651.4300000000001,45376,LC Independent Living,Childrens Services
FOCUS REFURBISHMENT LIMITED,23316,45373,Refurbishment,Capital Housing Revenue Acc
SOLVING HOMES LIMITED,720,45376,Supported Living,Health and Adult Services
SOLVING HOMES LIMITED,10080,45376,Supported Living,Health and Adult Services
CHRYSALIS CARE (FOSTERING) LTD,2224.26,45376,Agency Placements,Childrens Services
GREATER LONDON AUTHORITY,3428915,45370,NNDR1 on Account GLA,Collection Fund
REDACTED PERSONAL INFORMATION,1927.8,45377,Additional support for 3&4yr old withSEN,Childrens Services
REDACTED PERSONAL INFORMATION,881,45377,Grants To Voluntary Organ,Childrens Services
THE SOCIETY OF LOCAL AUTHORITY CHIEF EXECUTIVES &,1071,45377,Finance,Chief Executives
GROVE CARE PARTNERSHIP LTD,5889.400000000001,45373,Services Private Contractor,Health and Adult Services
REDACTED PERSONAL INFORMATION,667,45373,Higher Education,Childrens Services
REDACTED PERSONAL INFORMATION,535.35,45377,Other Services,Childrens Services
PANGEA SUPPORT SERVICES LIMITED,308.57,45376,Agency Placements,Childrens Services
PANGEA SUPPORT SERVICES LIMITED,195.43,45376,Agency Placements,Childrens Services
PANGEA SUPPORT SERVICES LIMITED,57.6,45376,Agency Placements,Childrens Services
PEACE MANOR LTD,3314.28,45376,Supported Living,Health and Adult Services
REDACTED PERSONAL INFORMATION,1778.38,45377,Adult Placement Schemes,Health and Adult Services
CARTERHATCH HOMES LIMITED,500,45376,Children Looked After,Childrens Services
REDACTED PERSONAL INFORMATION,771.75,45378,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,460.5,45378,Other Services,Childrens Services
SAFE HAVEN HOMES LTD,6090,45376,Supported Living,Health and Adult Services
THOMAS SINDEN LIMITED,168277.73,45370,Newbuild,Capital Housing Revenue Acc
DWF LAW LLP,438409.10000000003,45371,Property Purchase Normal,Other General Fund
DWF LAW LLP,438409.10000000003,45371,Property Purchase Normal,Other General Fund
THE PLANNING INSPECTORATE ( PINS),9303.880000000001,45370,Professional Fees,Regeneration Enterprise and Sk
REDACTED PERSONAL INFORMATION,1164,45376,LC Staying Put,Childrens Services
CONNEXIONS CUISINE LTD T/A MASONS KITCHEN,1720.2,45377,Catering,Health and Adult Services
PANGEA SUPPORT SERVICES LIMITED,1114.29,45376,Agency Placements,Childrens Services
PANGEA SUPPORT SERVICES LIMITED,720,45376,Agency Placements,Childrens Services
PANGEA SUPPORT SERVICES LIMITED,209.31,45376,Children Looked After,Childrens Services
DEKA CHAMBERS,1200,45377,Professional Fees,Chief Executives
THOMAS BINGHAM CHAMBERS T/AS 33 BEDFORD ROW,660,45377,Professional Fees,Chief Executives
THOMAS BINGHAM CHAMBERS T/AS 33 BEDFORD ROW,3468,45377,Professional Fees,Chief Executives
33 BEDFORD ROW,756,45377,Professional Fees,Chief Executives
LAMB CHAMBERS,720,45377,Professional Fees,Housing Services HRA
39 ESSEX CHAMBERS LLP,1111.8,45377,Professional Fees,Health and Adult Services
REDACTED PERSONAL INFORMATION,600,45377,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,1080,45377,Other Services,Childrens Services
REDACTED PERSONAL INFORMATION,600,45377,Other Services,Childrens Services
LONDON CARE LTD,634.34,45376,Greenwich Home Support,Health and Adult Services
LONDON CARE LTD,634.34,45376,Greenwich Home Support,Health and Adult Services
LONDON CARE LTD,634.34,45376,Greenwich Home Support,Health and Adult Services
LONDON CARE LTD,634.34,45376,Greenwich Home Support,Health and Adult Services
LONDON CARE LTD,634.34,45376,Greenwich Home Support,Health and Adult Services
LONDON CARE LTD,634.34,45376,Greenwich Home Support,Health and Adult Services
LONDON CARE LTD,634.34,45376,Greenwich Home Support,Health and Adult Services
LONDON CARE LTD,619.24,45376,Greenwich Home Support,Health and Adult Services
HARTWIG CARE LIMITED,941.64,45376,Greenwich Home Support,Health and Adult Services
ABSOLUTE CARE SERVICES LIMITED,595.7,45376,Greenwich Home Support,Health and Adult Services
ABSOLUTE CARE SERVICES LIMITED,537.02,45376,Greenwich Home Support,Health and Adult Services
ABSOLUTE CARE SERVICES LIMITED,505.27000000000004,45376,Greenwich Home Support,Health and Adult Services
ABSOLUTE CARE SERVICES LIMITED,1020.89,45376,Greenwich Home Support,Health and Adult Services
ABSOLUTE CARE SERVICES LIMITED,744.52,45376,Greenwich Home Support,Health and Adult Services
KAAMIL EDUCATION LTD,926.03,45376,Greenwich Home Support,Health and Adult Services
KAAMIL EDUCATION LTD,696.97,45376,Greenwich Home Support,Health and Adult Services
KAAMIL EDUCATION LTD,641.0600000000001,45376,Greenwich Home Support,Health and Adult Services
KAAMIL EDUCATION LTD,641.0600000000001,45376,Greenwich Home Support,Health and Adult Services
KAAMIL EDUCATION LTD,926.03,45376,Greenwich Home Support,Health and Adult Services
KAAMIL EDUCATION LTD,569.8000000000001,45376,Greenwich Home Support,Health and Adult Services
KAAMIL EDUCATION LTD,712.25,45376,Greenwich Home Support,Health and Adult Services
KAAMIL EDUCATION LTD,742.78,45376,Greenwich Home Support,Health and Adult Services
KAAMIL EDUCATION LTD,712.25,45376,Greenwich Home Support,Health and Adult Services
KAAMIL EDUCATION LTD,732.6,45376,Greenwich Home Support,Health and Adult Services
KAAMIL EDUCATION LTD,641.13,45376,Greenwich Home Support,Health and Adult Services
KAAMIL EDUCATION LTD,641.0600000000001,45376,Greenwich Home Support,Health and Adult Services
ELEANOR NURSING AND SOCIAL CARE LTD,559.74,45376,Greenwich Home Support,Health and Adult Services
ELEANOR NURSING AND SOCIAL CARE LTD,731.52,45376,Greenwich Home Support,Health and Adult Services
ELEANOR NURSING AND SOCIAL CARE LTD,623.46,45376,Greenwich Home Support,Health and Adult Services
ELEANOR NURSING AND SOCIAL CARE LTD,618.5600000000001,45376,Greenwich Home Support,Health and Adult Services
ELEANOR NURSING AND SOCIAL CARE LTD,652.86,45376,Greenwich Home Support,Health and Adult Services
ELEANOR NURSING AND SOCIAL CARE LTD,549.92,45376,Greenwich Home Support,Health and Adult Services
ELEANOR NURSING AND SOCIAL CARE LTD,780.52,45376,Greenwich Home Support,Health and Adult Services
ELEANOR NURSING AND SOCIAL CARE LTD,814.91,45376,Greenwich Home Support,Health and Adult Services
ELEANOR NURSING AND SOCIAL CARE LTD,917.97,45376,Greenwich Home Support,Health and Adult Services
ELEANOR NURSING AND SOCIAL CARE LTD,3543.2200000000003,45376,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,576.38,45376,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,599.25,45376,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,576.38,45376,Greenwich Home Support,Health and Adult Services
CARE OUTLOOK LTD,658.98,45376,Greenwich Home Support,Health and Adult Services
CAREPOINT SERVICES LIMITED,1048.29,45376,Greenwich Home Support,Health and Adult Services
CAREPOINT SERVICES LIMITED,590.0500000000001,45376,Greenwich Home Support,Health and Adult Services
CAREPOINT SERVICES LIMITED,737.64,45376,Greenwich Home Support,Health and Adult Services
CAREPOINT SERVICES LIMITED,653.39,45376,Greenwich Home Support,Health and Adult Services
